,Market Name,Address Line 1,City,Zip,Contact,State,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude
0,Wagner Farms Farm Stand,5841 Old Oneida Rd,Rome,13440.0,Ronald Wagner,NY,3153395182,http://wagnerfarmsny.com/,Daily  10am-6pm,Year-round,YR,Y,N,N,Y,43.1805,-75.50086
1,Veggie Mobile-Thurlow Terrace,2 Thurlow Terrace,Albany,12203.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Wed 12pm-1pm,Year-round,YR,Y,Y,Y,Y,42.65998,-73.77276
2,Domino Park Greenmarket,15 River St,Brooklyn,11211.0,Siobahn Keys,NY,2127887476,https://www.grownyc.org,Sunday 9am-3pm,July 12-November 22,M,Y,N,N,Y,40.71655,-73.96656
3,Cypress Hills  GrowNYC Farm Stand,Fulton St. and Logan St.,Brooklyn,11208.0,Siobahn Keys,NY,2127887476,https://www.grownyc.org/farmstands,Friday  10am-5pm,July 17-November 20,M,Y,Y,N,Y,40.68206,-73.87788
4,Fulton Farmers' Market,Canalview Mall,Fulton,13069.0,Sara Broadwell,NY,3153437681,,Saturday  8am-12pm,June 13-October 10,M,Y,Y,N,Y,43.3111,-76.40499
5,Williamsburg Greenmarket,199 Taylor St,Brooklyn,11211.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket,Thursday  8am-4pm,July 2-November 19,M,Y,Y,N,Y,40.70643,-73.96211
6,Pires Farmers' Market,6066 State Highway 12,Norwich,13815.0,Richard Williams,NY,6073342676,,"Mon-Sat  9am-5pm, Sunday  9am-4pm",May 1-November 30,P/M,Y,Y,N,Y,42.54525,-75.52498
7,Curbside Market-Plymouth Gardens,1400 S Plymouth Ave.,Rochester,14611.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Fri 11:30am-1pm,July 10-December 18,M/X,Y,Y,N,Y,43.13192,-77.6339
8,Curbside Market-Seneca Towers,200 Seth Green St,Rochester,14621.0,Andrea Cuzenz,NY,5854134069,http://www.foodlinkny.org,Mon 1:15pm-2:30pm,July 6-December 14,M/X,Y,Y,N,Y,43.1904,-77.61943
9,Montgomery Farmers' Market,110 Bracken Rd,Town of Montgomery,12549.0,Randi Greene,NY,8452872833,http://facebook.com/tomfarmmarket,Tuesday 9am-2pm,July 7-October 27,M,Y,N,N,Y,41.52115,-74.20015
10,Veggie Mobile Sprout-Mayor John Warden Apts,85 Aiken Ave,Rensselaer,12144.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Tue 2:15pm-3pm,Year-round,YR,Y,Y,Y,Y,42.63326,-73.73991
11,Veggie Mobile Sprout-St. Sophia/Holy Wisdom,440 Whitehall Road,Albany,12208.0,Audrey Bridge,NY,5182748685,http://www.capitalroots.org,Wed 12:15pm-12:35pm,Year-round,YR,Y,Y,Y,Y,42.65244,-73.81416
12,Anna House Farm Stand at Belmont Park,2150 Hempstead Turnpike,Elmont,11003.0,Eleanor Poppe,NY,5164285267,http://www.rtcany.org,Tuesday  11am-2pm,July 2-October 27,M,Y,N,N,Y,40.70922,-73.7216
13,Clinton Bailey Fri Farmers' Market,Bailey Ave and Clinton St,Buffalo,14206.0,Sharon Baldi,NY,7162080003,http://www.clintonbaileymarket.com,Friday 7am-6pm,May 2-October 31,P/M,N,Y,N,Y,42.87206,-78.81997
14,Hastings WINTER Farmers' Market,134 Southside Ave,Hastings on Huds,10706.0,Pascale Le Draoulec,NY,9148063380,http://www.hastingsfarmersmarket.org,Saturday 830am-130pm,Dec 7-May 23,X/W/P,N,Y,N,Y,40.9943,-73.88424
15,Arlington Farmers' Market,123 Raymond Ave,Poughkeepsie,12603.0,Bob Legacy,NY,8454712863,http://www.arlingtonhasit.org,Thursday  3pm-7pm,May 28-November 19,P/M,Y,N,N,Y,41.68187,-73.89636
16,MAP Mobile Market-Salvation Army,960 Main Street,Buffalo,14202.0,Danielle Rovillo,NY,7168825327,http://www.mass-ave.org,Tuesday 11am-1pm,Aug 1-October 27,M,Y,Y,N,Y,42.90008,-78.87024
17,Rouses Point Farmers' Market,144 Lake Street,Rouses Point,12979.0,Jim Rabideau,NY,5182983878,http://www.facebook.com/events/1127448587272536/,Friday  3pm-7pm,June 19-September 4,M,Y,N,N,Y,44.99038,-73.36434
18,Grass Roots Farmers' Market,West 145th St and Edgecombe Ave,New York,10030.0,Gabrielle Girigorie,NY,2122522113,,Sat/Tue  9am-4pm,July 7-November 28,M,Y,Y,N,Y,40.82365,-73.94385
19,Bartel-Pritchard Square Sunday Greenmarket,Prospect Park West and 14th Street,Brooklyn,11215.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket/brooklyn/bartel-pritchard-square-wed,Sunday  9am-3pm,Year-round,YR,Y,Y,N,Y,40.66094,-73.97979
20,Wolcott Area Farmers' Market,Washington Street and New Hartford Street,Wolcott,14590.0,David & Cindy Savary,NY,3158790798,,Mon & Thu  1pm-5pm,June 22-October 15,M,Y,Y,N,Y,43.21855,-76.81491
21,Beacon Farmers' Market,Veteran's Place,Beacon,12508.0,Sember Weinman,NY,8452314424,http://www.beaconfarmersmarket.org,Sunday  10am-3pm,May 3-November 16,P/M,Y,Y,Y,Y,41.50377,-73.96848
22,Chiavetta's Potatoes & Greenhouse Farm Stand,9784 South Main St,Angola,14006.0,Michael Chiavetta,NY,7165490458,,"Sat/Sun 9am-5pm, Mon-Fri 9am-6pm",August 1-October 31,M,Y,Y,N,Y,42.61859,-79.01784
23,Black Horse Farms Farm Stand,10094 Rte 9W,Athens,12015.0,Chellie Apa,NY,5187318776,http://www.blackhorsefarms.com,Daily  8am-6pm,year-round,W/P/M/X,Y,Y,N,Y,42.30634,-73.85043
24,Kids Farm Market,9282 Kellogg Rd,Washington Mills,13479.0,Amy Braun,NY,3157377171,https://m.facebook.com/profile.php?id=188960021191060,Daily 9am-6pm,May 1-December 24,P/M,Y,N,N,Y,43.05287,-75.2725
25,Mamaroneck WINTER Farmers' Market,168 W. Boston Post Rd.,Mamaroneck,10543.0,Dacotah Rousseau,NY,9149234837,http://www.downtoearthmarkets.com,Saturday  9am-1pm,January 9-April 17,W/P,N,Y,Y,Y,40.948085,-73.734649
26,Red Fox Farm Farm Stand,1725 Brentwood Rd,Brentwood,11717.0,Ernest Herrington,NY,6312770159,http://www.redfoxfarmfarm,Thu/Sat 9am-5pm,May 30-October 31,M,Y,N,N,Y,40.77235,-73.24614
27,Emmi's Farm Market-Baldwinsville,1482 West Genesee Rd.,Baldwinsville,13027.0,Anthony Emmi,NY,3156357529,http://www.emmifarms.com,"Mon-Sat  10am-6pm, Sunday  10am-3pm",June 10-October 15,M,Y,N,N,Y,43.16899,-76.40302
28,Edgemere Farm Stand,385 Beach 45th Street,Queens,11691.0,Michael Repasch-Nieves,NY,3477547336,http://www.edgemerefarm.org,Fri/Sat 10am-3pm,June 5-November 28,P/M,Y,N,N,Y,40.59536,-73.77654
29,Auburn Tue Farmers' Co-op Market,96 State Street,Auburn,13021.0,Mark Soper,NY,3157048609,http://www.auburnfarmerscoopmarketinc.com,Tue 7am-2pm,June 2-October 27,M,Y,Y,N,Y,42.93401,-76.57007
30,Veggie Mobile-Schenectady Day Nursery,25 Lafayette St,Schenectady,12307.0,Audrey Bridge,NY,5182748685,http://www.captialroots.org,Monday 4pm-4:45pm,Year-round,YR,Y,Y,Y,Y,42.81479,-73.93633
31,Hamburg Farmers' Market,45 Church St.,Hamburg,14075.0,Jamie Decker,NY,7166497917,http://www.southtownsregionalchamber.org/explore-hamburg/farmers-market,Saturday  7:30am-1pm,May 2-October 31,P/M,Y,N,N,Y,42.71677,-78.82994
32,Massena Farmers and Artisans Co-op-Sunday,105 Harte Haven Plaza,Massena,13662.0,Matt Martin,NY,3158428052,,Sunday 10am-2pm,July 5-October 25,M,Y,Y,N,Y,44.92199,-74.88432
33,Hudson Valley Farmers Market,227 Pitcher Lane,Red Hook,12571.0,Norman Greig,NY,9144742404,,Saturday 9am-3pm,Year-round,YR,Y,N,N,Y,42.02825,-73.8549
34,Rochester Public Market-Saturday,280 North Union St.,Rochester,14609.0,Cindy De Coste,NY,5854286907,http://www.cityofrochester.gov/publicmarket,Saturday 5am-3pm,Year-round,YR,Y,Y,N,Y,43.1657,-77.59016
35,Jim Dooley Center Farm Stand,196 North St,Geneva,14456.0,Kathy Ryrko,NY,3157874190,,Monday 3pm-6pm,July 8-September 28,M,Y,N,N,Y,42.87573,-76.9877
36,Wagoner Bees & Produce Farm Stand,11137 Wayne Rd.,Fillmore,14735.0,Terry Wagoner,ny,5856108836,http://www.facebook.com/wagonerbees,"Sat/Sun 12pm-3pm, Mon/Tues/Fri  1pm-5pm, Wed/Thu 5pm-7pm",May 15-October 30,P/M,Y,Y,N,Y,42.48057,-78.09042
37,Wisner Park Farmers' Market,200 N Main St,Elmira,14901.0,Kate Boland,NY,6077340341,http://www.wisnermarket.org,Thursday  10am-2pm,May 28-September 24,P/M,Y,Y,N,Y,42.08943,-76.80801
38,Park Slope Farmers' Market,289 4th Street,Brooklyn,11215.0,Miriam Haas,NY,9149234837,http://www.downtoearthmarkets.com,Sunday 10am-3pm,January 10-December 19,P/M/X,Y,Y,N,Y,40.6722,-73.98379
39,Piermont Farmers Market,Hudson Way,Piermont,10968.0,Joe Serra,NY,9143934533,,Sunday  10am-3pm,May 10-November 22,P/M,Y,N,N,Y,41.04211395,-73.91644342
40,Islip Farmers' Market,655 Main Street,Islip,11751.0,Ethel Terry,NY,6313233653,http://www.longislandgrowersmarket.com,Saturday 7am-12pm,June 6-November 28,M,Y,N,N,Y,40.72975,-73.21077
41,Exeter Park Produce and Garlic Farm Stand,147 South Road,West Winfield,13491.0,David or Cynthia Ball,NY,3159823589,http://www.exeterparkproduceandgarlic.com,Daily  10am-6pm,May 1 -October 31,M,Y,N,N,Y,42.83092,-75.1367
42,Cortelyou Greenmarket,1399 Cortelyou Rd,Brooklyn,11226.0,Siobahn Keys,NY,2127887476,https://www.grownyc.org/farmstands,Sunday  8am-2pm,Year-round,YR,Y,Y,N,Y,40.64044,-73.96617
43,LeRoy Farmers' Market,Trigon Park,Le Roy,14482.0,Mary Margaret Ripley,NY,5852972441,http://www.leroyfarmersmarket.wordpress.com,Saturday  9am-12:30pm,June 13-October 3,M,Y,N,N,Y,42.97756,-77.98592
44,Brooklyn Grange Farm Stand @ LIC,37-18 Northern Blvd.,Long Island City,11101.0,Ben Flanner,NY,6082150218,http://www.brooklyngrangefarm.com,Saturday  10am-4pm,May 16-October 31,P/M,Y,Y,N,Y,40.75201,-73.92583
45,JCEO MM-Elm St. Housing,215 Elm St,Malone,12953.0,Richard LaVigne,NY,5183194028,http://www.jceo.org,Thursday 11:30am-12:45pm,June 11-October 15,M,Y,Y,N,Y,44.85535,-74.28165
46,Oneonta WINTER Farmers' Market,196 Main Street,Oneonta,13820.0,Betty Lee,NY,6072671807,http://www.oneontafarmersmarket.com,Saturday  9am-12pm,Nov 7-April 24,X/W/P,N,N,N,Y,42.45397,-75.06188
47,Oneonta Farmers' Market,205 Main Street,Oneonta,13820.0,Meg Kennedy,NY,6072938128,http://www.oneontafarmersmarket.org,Saturday  9am-1pm,May 2-October 31,P/M,Y,N,N,Y,42.45417,-75.06173
48,Old Forge Farmers' Market,Crosby Blvd and Park Ave,Old Forge,13420.0,Robin Hill,NY,3153693353,http://www.cap-21.org,Friday  1pm-5pm,June 19-October 9,M,Y,Y,Y,Y,43.70893,-74.97286
49,Harvest Home N Central Bronx Farmers' Market,Jerome Ave and East Mosholu Pkwy North,Bronx,10467.0,Maritza Owens,NY,2128283361,http://www.harvesthomefm.org,Wednesday  8am-4pm,June 17-November 25,M,Y,Y,N,Y,40.88046,-73.88385
50,BronxWorks Farm Stand,1130 Grand Concourse,Bronx,10456.0,Rachel Gill,NY,7185083156,,Thursday  10am-4pm,July 9-November 19,M,N,N,N,Y,40.83256,-73.9192
51,Saratoga Nemer Farmers' Market,617 Maple Ave Route 9,Saratoga Springs,12866.0,Linda Gifford,NY,5187920198,,Monday 10am-1pm,June 15-October 26,M,Y,N,N,Y,43.11797,-73.7695
52,Fable: From Farm to Table Farm Stand,1311 Kitchawan Road,Ossining,10562.0,Tom Deacon,NY,9148620205,http://www.fablefoods.com,Fri/Sat/Sun  11am-3pm,year-round,YR,Y,N,Y,Y,41.21059,-73.81496
53,Dykeman Farm Farm Stand,31 Dykeman Lane,Pawling,12564.0,Beth Dykeman,NY,8458326068,http://www.dykemanfarm.com,Daily  9am-6pm,July 1-October 31,M,Y,N,N,Y,41.62739,-73.60795
54,Delaware Community Farmers' Market,331 Delaware Ave,Albany,12209.0,Louise McNeilly,NY,5184341730,http://www.facebook.com/DelawareAreaNeighborhoodAssociation,"Tuesdays  4pm-7pm, Oct-Nov 3pm-6pm",June 23-November 17,M,Y,Y,N,Y,42.64305,-73.77824
55,Inwood Greenmarket,Isham St and Seaman St,New York,10034.0,Siobahn Keys,NY,2127887476,http://www.grownyc.org/greenmarket/manhattan/inwood,Saturday  8am-3pm,Year-round,YR,Y,Y,N,Y,40.86988,-73.9209
56,Niagara Falls City Friday Market,1800-1808 Pine Ave,Niagara Falls,14301.0,Victor Muto,NY,7167540798,,Friday  9am-3pm,Year-round,YR,Y,N,N,Y,43.09513,-79.03972
57,Urban Oasis Farmers' Market,681 Clarkson Ave,Brooklyn,11203.0,Michelle Almonte,NY,7182217132,,Wed  2pm-5:30pm,June 26-November 4,M,Y,N,N,Y,40.65621,-73.93741
