,Serial Number,Premise Address,Premise City,Premise State,Premise Zip,Georeference
0,3013638,TOWER ROAD,ITHACA,NY,14853,
1,1185489,763 HEMPSTEAD TPKE,FRANKLIN SQUARE,NY,11552,
2,1248333,70 20 AUSTIN STREET,FOREST HILLS,NY,11375,
3,2170748,6404 ROUTE 8,NEW BERLIN,NY,13411,
4,1268310,1008 CORTELYOU RD,BROOKLYN,NY,11218,POINT (-73.968475 40.639396)
5,1283375,2225 CROMPOND RD,CORTLANDT MANOR,NY,10567,POINT (-73.869321 41.293018)
6,1297643,151 W 26TH ST,NEW YORK,NY,10001,POINT (-73.993383 40.745635)
7,1311899,6851 UNDERHILL BLVD,SYOSSET,NY,11791,
8,1315410,5110 7TH AVE,BROOKLYN,NY,11220,POINT (-74.006753 40.641641)
9,1187628,MAIN LEVEL TERM 1 JFK AIRPORT,JAMAICA,NY,11430,
10,3158584,3362 WALDEN AVE,DEPEW,NY,14043,POINT (-78.68322600000002 42.914064)
11,1301510,424 E 161ST STREET,BRONX,NY,10451,POINT (-73.912847 40.823883)
12,1334135,31320 MAIN RD,CUTCHOGUE,NY,11935,POINT (-72.480666 41.018509)
13,1004040,522 CITY ISLAND AVE,BRONX,NY,10464,POINT (-73.789456 40.852556)
14,3004601,12243 BIG TREE ROAD,WALES CENTER,NY,14169,
15,3005241,4405 MILESTRIP RD,HAMBURG,NY,14219,POINT (-78.814085 42.789781)
16,1016336,286 MAIN STREET,PORT WASHINGTON,NY,11050,POINT (-73.698678 40.832429)
17,2109531,31 NORTH PEARL STEET,ALBANY,NY,12207,
18,3134754,1050 UNION RD,WEST SENECA,NY,14224,POINT (-78.753536 42.828333)
19,1217106,2040 86TH STREET,BROOKLYN,NY,11214,POINT (-73.997323 40.604046)
20,3151441,93 GENEVA ST,LYONS,NY,14489,POINT (-76.992278 43.06004200000001)
21,2199075,3160 WARNERS RD,WARNERS,NY,13164,POINT (-76.290593 43.081209)
22,2199703,48 SALEM RIDGE CIR,PARKSVILLE,NY,12768,POINT (-74.720014 41.824)
23,2200013,56 CLINTON ST,BINGHAMTON,NY,13905,POINT (-75.920248 42.104824)
24,2204563,1898 RTE 9W,MILTON,NY,12547,POINT (-73.961852 41.662843)
25,2004109,34 RILEY AVENUE,PLATTSBURGH,NY,12901,POINT (-73.454627 44.707166)
26,3003005,SOUTH 5755 MAELOU DR,HAMBURG,NY,14075,
27,1022539,62 04 34TH AVENUE,WOODSIDE,NY,11377,
28,1034272,23RD ST & EAST RIVER MARINA,NEW YORK,NY,10005,
29,2503445,9270 RIVER RD,MARCY,NY,13403,POINT (-75.27442 43.138098)
30,2504921,2885 BELGIUM ROAD,BALDWINSVILLE,NY,13027,POINT (-76.310483 43.165301)
31,2010247,BRADLEY PKWY EXTENSION,BLAUVELT,NY,10913,
32,2137026,"3867 DANBURY RD, RTE 6 STORE 2",BREWSTER,NY,10509,
33,1217261,550 FOOD CENTER DR,BRONX,NY,10474,POINT (-73.871168 40.80565)
34,2184710,1113 ROUTE 12 S,GREENE,NY,13778,
35,1267297,682 RTE 25A,SETAUKET,NY,11733,POINT (-73.114604 40.930872)
36,2190807,261 UTICA BLVD,BOONVILLE,NY,13309,
37,1285241,1861 1869 ARCHER ST,BRONX,NY,10460,POINT (-73.864516 40.837773000000006)
